NoOfDaysAgo,Erc20CustodyUSDTBalance,ZEVMBSCUSDT,ZetaBlock,BscBlock,SurplusAmount
0,240095,231383,3982316,40551771,8712
1,231456,222746,3967916,40522971,8710
2,230879,222170,3953516,40494171,8709
3,230991,222285,3939116,40465371,8706
4,232154,223472,3924716,40436571,8681
5,231964,223300,3910316,40407771,8664
6,231875,223165,3895916,40378971,8709
7,232412,223544,3881516,40350171,8867
8,232705,223992,3867116,40321371,8712
9,232560,223934,3852716,40292571,8626
10,238001,231304,3838316,40263771,6696
11,237721,229053,3823916,40234971,8667
12,237539,228836,3809516,40206171,8702
13,247145,238354,3795116,40177371,8791
14,247085,238372,3780716,40148571,8712
15,245720,238334,3766316,40119771,7385
16,226451,226456,3751916,40090971,-6
17,242298,242298,3737516,40062171,0
18,242527,242527,3723116,40033371,0
19,242553,242489,3708716,40004571,63
20,242576,242576,3694316,39975771,0
21,252592,252592,3679916,39946971,0
22,252548,252559,3665516,39918171,-11
23,252534,252534,3651116,39889371,-1
24,253653,252563,3636716,39860571,1089
25,254322,254187,3622316,39831771,134
26,254505,254241,3607916,39802971,264
27,263151,264838,3593516,39774171,-1688
28,262246,262246,3579116,39745371,0
29,272264,262235,3564716,39716571,10028
30,274586,274738,3550316,39687771,-153
31,274445,274581,3535916,39658971,-136
32,275204,274882,3521516,39630171,321
33,275301,275303,3507116,39601371,-2
34,255256,255295,3492716,39572571,-40
35,256135,255350,3478316,39543771,785
36,255628,256135,3463916,39514971,-507
37,258845,257519,3449516,39486171,1325
38,259059,258655,3435116,39457371,404
39,257942,257831,3420716,39428571,110
40,260566,257488,3406316,39399771,3078
41,260732,259732,3391916,39370971,1000
42,261130,260950,3377516,39342171,179
43,242115,241129,3363116,39313371,986
44,240013,240147,3348716,39284571,-134
45,242984,242075,3334316,39255771,909
46,243022,242984,3319916,39226971,37
47,243312,243066,3305516,39198171,246
48,243321,243312,3291116,39169371,8
49,243226,242297,3276716,39140571,928
50,243182,243216,3262316,39111771,-34
51,248659,243372,3247916,39082971,5286
52,248733,248654,3233516,39054171,79
53,246799,246800,3219116,39025371,-2
54,246959,246873,3204716,38996571,85
55,247805,246759,3190316,38967771,1046
56,255777,247957,3175916,38938971,7820
57,255828,255783,3161516,38910171,45
58,255834,255828,3147116,38881371,6
59,255770,255834,3132716,38852571,-65
60,255758,255784,3118316,38823771,-27
61,252842,255758,3103916,38794971,-2916
62,256324,253323,3089516,38766171,3000
63,258869,256324,3075116,38737371,2544
64,261768,258874,3060716,38708571,2894
65,261987,261751,3046316,38679771,235
66,262081,262310,3031916,38650971,-230
67,260483,262150,3017516,38622171,-1667
68,260374,260478,3003116,38593371,-104
69,250897,259729,2988716,38564571,-8833
70,254621,250812,2974316,38535771,3808
71,257205,254622,2959916,38506971,2582
72,257171,257717,2945516,38478171,-547
73,246381,252080,2931116,38449371,-5700
74,241092,245256,2916716,38420571,-4164
75,273739,243320,2902316,38391771,30419
76,219867,223498,2887916,38362971,-3632
77,228877,226562,2873516,38334171,2314
78,226435,228263,2859116,38305371,-1829
79,222469,225235,2844716,38276571,-2766
80,234253,225788,2830316,38247771,8464
81,214894,222600,2815916,38218971,-7706
82,222881,214894,2801516,38190171,7986
83,224523,222855,2787116,38161371,1668
84,245408,230181,2772716,38132571,15226
85,246708,243606,2758316,38103771,3101
86,247878,246708,2743916,38074971,1170
87,251523,244878,2729516,38046171,6645
88,224339,250708,2715116,38017371,-26370
89,216066,225141,2700716,37988571,-9075
90,214572,213435,2686316,37959771,1137
91,223222,214543,2671916,37930971,8679
92,218224,223222,2657516,37902171,-4999
93,212429,218775,2643116,37873371,-6347
94,200009,214348,2628716,37844571,-14340
95,199290,188798,2614316,37815771,10491
96,220791,195662,2599916,37786971,25129
97,230527,220791,2585516,37758171,9736
98,211161,230608,2571116,37729371,-19448
99,234379,211155,2556716,37700571,23223
100,217688,238414,2542316,37671771,-20726
101,228939,221716,2527916,37642971,7223
102,227729,228889,2513516,37614171,-1160
103,225566,227728,2499116,37585371,-2162
104,220718,225567,2484716,37556571,-4850
105,218536,220718,2470316,37527771,-2183
106,229974,218536,2455916,37498971,11438
107,260798,233197,2441516,37470171,27600
108,268549,260797,2427116,37441371,7752
109,274550,278558,2412716,37412571,-4008
110,279386,274550,2398316,37383771,4835
111,274305,279386,2383916,37354971,-5081
112,278778,274305,2369516,37326171,4472
113,284262,278778,2355116,37297371,5484
114,288553,296500,2340716,37268571,-7948
115,289899,288553,2326316,37239771,1346
116,285971,289899,2311916,37210971,-3929
117,291536,285971,2297516,37182171,5564
118,290918,291536,2283116,37153371,-618
119,261248,290918,2268716,37124571,-29671
120,246575,261198,2254316,37095771,-14623
121,304003,246575,2239916,37066971,57427
122,296998,304003,2225516,37038171,-7006
123,312018,296998,2211116,37009371,15020
124,315177,313718,2196716,36980571,1458
125,340735,299347,2182316,36951771,41387
126,342023,334466,2167916,36922971,7557
127,356205,342023,2153516,36894171,14181
128,362293,353448,2139116,36865371,8844
129,363568,362293,2124716,36836571,1274
130,375810,363571,2110316,36807771,12238
131,380233,365854,2095916,36778971,14379
132,363948,380233,2081516,36750171,-16286
133,313031,364148,2067116,36721371,-51117
134,331009,323739,2052716,36692571,7270
135,337212,341478,2038316,36663771,-4267
136,333419,337212,2023916,36634971,-3793
137,313785,333419,2009516,36606171,-19635
138,304648,313885,1995116,36577371,-9237
139,330901,304648,1980716,36548571,26252
140,328712,330901,1966316,36519771,-2189
141,340019,328513,1951916,36490971,11506
142,346799,338264,1937516,36462171,8535
143,326286,346819,1923116,36433371,-20534
144,313125,325765,1908716,36404571,-12641
145,346440,313130,1894316,36375771,33309
146,331693,335086,1879916,36346971,-3393
147,327990,331693,1865516,36318171,-3703
148,322051,328388,1851116,36289371,-6337
149,348229,322049,1836716,36260571,26179
150,343750,351681,1822316,36231771,-7931
151,341667,343750,1807916,36202971,-2083
152,355228,346957,1793516,36174171,8271
153,365900,380829,1779116,36145371,-14930
154,352168,365900,1764716,36116571,-13733
155,307423,349340,1750316,36087771,-41918
156,285107,315290,1735916,36058971,-30183
157,244434,286102,1721516,36030171,-41669
158,231921,245989,1707116,36001371,-14069
159,211510,231921,1692716,35972571,-20411
160,215193,211510,1678316,35943771,3682
161,223935,220499,1663916,35914971,3435
162,225200,223935,1649516,35886171,1265
163,242395,225200,1635116,35857371,17194
164,254555,242395,1620716,35828571,12159
165,282601,254555,1606316,35799771,28046
166,208256,282601,1591916,35770971,-74346
167,54,208256,1577516,35742171,-208203
168,50,54,1563116,35713371,-4
169,0,50,1548716,35684571,-50
